CVEGEO;numero_nodos;numero_nodos_boundary
26824;1;1
26826;1;1
26827;1;1
26850;1;1
26853;2;2
26854;4;2
26855;3;3
26857;1;1
26863;2;1
26864;3;2
26865;7;2
26870;1;0
26871;1;0
26872;1;1
26873;1;1
26875;2;1
26876;1;1
26877;4;1
26878;2;0
26896;1;1
26897;2;2
26899;2;0
26900;3;2
26901;4;1
26902;3;0
26907;2;2
26908;1;1
26910;1;1
26915;3;1
26917;10;3
26918;1;1
26923;1;1
26925;1;1
26926;1;0
26928;3;1
26931;1;1
26934;1;0
26942;1;0
26945;1;1
26946;3;2
26948;12;4
26949;132;9
26953;4;2
26954;3;2
26955;3;2
26956;1;1
26957;1;0
26958;2;1
26964;1;1
26965;1;1
26966;5;1
26967;6;2
26968;754;39
26969;5;2
26970;9;5
26971;14;5
26977;1;1
26985;1;0
26986;1;0
26987;1;1
26988;1;1
26989;10;2
26991;28;4
26992;5;1
26997;2;2
26998;24;4
26999;2;2
27000;266;18
27001;4;3
27002;7;2
27003;1;0
27004;6;2
27005;1;1
27006;13;6
27007;2;0
27008;1;0
27010;38;2
27011;2;2
27016;1;1
27017;1;0
27018;2;2
27019;42;6
27020;153;14
27021;1;0
27022;3;1
27023;2;0
27027;2;0
27028;1;1
27029;10;3
27030;917;50
27031;8;3
27032;1;1
27033;4;1
27034;6;0
27035;3;2
27036;12;4
27037;3;2
27038;7;1
27043;11;3
27044;1;1
27045;2;2
27046;5;1
27048;57;10
27052;14;4
27054;7;2
27055;227;13
27057;11;2
27058;34;8
27059;11;2
27060;8;2
27065;3;1
27066;2;0
27067;1;1
27068;41;4
27069;2;2
27070;48;4
27071;14;4
27072;53;6
27074;9;2
27075;1;1
27076;4;2
27077;33;6
27079;3;2
27080;10;3
27081;31;5
27082;5;2
27083;4;0
27085;5;1
27086;3;1
27087;3;2
27089;9;3
27091;7;2
27092;28;3
27093;3;2
27094;55;11
27095;2;2
27096;2;2
27097;39;4
27098;9;2
27099;9;2
27100;1;1
27101;1;1
27102;1;1
27103;37;8
27104;4;1
27105;2;2
27106;2;1
27107;1;1
27108;17;3
27109;4;1
27110;6;4
27111;44;7
27114;1;1
27116;25;3
27117;37;4
27118;4;1
27119;14;3
27120;4;2
27122;4;2
27124;3;2
27125;3;1
27126;61;6
27127;15;3
27130;1;1
27132;14;3
27134;1;1
27135;2;2
27136;7;1
27137;12;4
27138;3;2
27139;8;4
27140;64;11
27141;1;1
27142;5;3
27143;4;1
27144;4;3
27145;5;1
27146;3;2
27147;14;3
27148;4;3
27149;5;1
27150;3;2
27151;11;4
27152;37;9
27153;12;3
27154;7;2
27155;3;1
27156;6;0
27158;2;2
27159;6;2
27163;1;1
27165;1;0
27166;5;2
27167;11;1
27168;49;8
27169;8;2
27170;5;4
27171;1;0
27175;280;30
27176;5;2
27177;8;2
27178;2;2
27179;3;1
27180;4;1
27181;117;8
27182;5;0
27184;63;22
27186;2;1
27187;11;4
27188;1;1
27189;5;1
27190;1;1
27191;2;1
27192;3;2
27193;3;3
27195;2;2
27196;1;0
27197;8;3
27198;7;3
27199;29;4
27200;1;1
27201;17;7
27202;9;2
27203;1;1
27204;4;2
27205;1;1
27206;13;2
27207;2;2
27208;12;1
27209;70;12
27210;16;3
27211;1;1
27212;2;2
27213;71;10
27214;3;3
27216;10;3
27218;106;15
27221;69;8
27222;135;12
27223;1;1
27224;4;2
27225;9;4
27226;7;3
27231;18;3
27233;107;9
27234;191;27
27235;2;1
27236;4;2
27237;6;4
27238;1;1
27239;58;8
27240;59;9
27241;79;14
27242;6;1
27243;2;1
27244;16;3
27246;1;0
27247;10;3
27248;35;3
27249;5;2
27250;20;3
27251;1;1
27252;7;3
27253;15;3
27254;44;4
27255;4;2
27256;5;2
27257;5;3
27258;9;3
27259;2;1
27260;5;2
27261;1;1
27262;1;1
27263;8;3
27264;6;2
27265;337;42
27266;8;2
27267;7;3
27268;17;5
27269;8;4
27270;122;8
27271;1;1
27272;16;3
27273;38;4
27274;276;11
27275;2;1
27276;98;11
27277;9;2
27278;1590;105
27279;1;1
27280;106;11
27281;21;7
27282;1;0
27284;110;22
27286;147;17
27287;12;2
27288;20;3
27289;4;2
